"Time","Latitude","Longitude","Depth_Km","Magnitude"
"42606.15037037037","42.6983","13.2335","8.1","6"
"42606.15100208333","42.7123","13.2533","9","4.5"
"42606.15331701389","42.7647","13.1723","9.699999999999999","3.8"
"42606.1539224537","42.7803","13.1683","9.699999999999999","3.9"
"42606.15424965278","42.7798","13.1575","9.699999999999999","3.6"
"42606.15554050926","42.7298","13.2137","10.7","3.4"
"42606.15600300926","42.676","13.2858","10.8","2.7"
"42606.15620833333","42.6282","13.2648","10.6","3.2"
"42606.15708611111","42.7645","13.1777","6.6","3.7"
"42606.15747685185","42.7445","13.2097","12.4","2.8"
"42606.15823541667","42.6675","13.3238","6.5","3.3"
"42606.16140868056","42.7447","13.2827","7.9","2.9"
"42606.16161122685","42.6378","13.2313","10.9","3.1"
"42606.16343055556","42.7895","13.1453","11.1","3"
"42606.16371099537","42.7217","13.2497","6.3","3.5"
"42606.16389560185","42.6008","13.2763","7.7","4.3"
"42606.1648505787","42.7165","13.2208","8.5","3.4"
"42606.16603888889","43.1615","12.8797","18.7","2"
"42606.16624571759","42.6307","13.2283","10.7","2.8"
"42606.166671875","42.6125","13.2497","11.2","2.9"
"42606.16745509259","42.7988","13.2412","6.9","3.9"
"42606.16940057871","42.6253","13.2545","12.7","2.6"
"42606.16951215278","42.7928","13.1333","9.800000000000001","2.8"
"42606.16966273148","42.7892","13.1233","10.1","3.1"
"42606.17002835648","42.6322","13.3002","7.1","2.9"
"42606.17078541667","42.6162","13.2812","6.7","3.9"
"42606.17187893519","42.6632","13.2957","6.4","3.8"
"42606.17227777778","42.7918","13.1437","10.2","3.2"
"42606.17301863426","42.6228","13.2665","10.2","2.7"
"42606.17357175926","42.7352","13.1897","11.4","3.6"
"42606.17404849537","42.718","13.2885","9.9","2.7"
"42606.17425960648","42.7558","13.1927","9.5","3.8"
"42606.17451076389","42.2743","13.3909999999999","9.199999999999999","3.1"
"42606.17490324074","42.7198","13.2115","10.7","2.4"
"42606.17514131944","42.8068","13.1488","8.9","3.5"
"42606.17581087963","42.7035","13.2273","6.2","2.7"
"42606.17635787037","42.7678","13.1538","9.300000000000001","3.7"
"42606.17726180555","42.8002","13.1663","7.5","3.7"
"42606.17812523148","42.6753","13.2607","12.1","2.7"
"42606.17849236111","42.638","13.2458","11.5","2.4"
"42606.17918634259","42.7828","13.1663","10.2","2"
"42606.18036990741","42.6403","13.2362","10.4","3.8"
"42606.18186377315","42.6452","13.2237","13","2.3"
"42606.182403125","42.7293","13.2038","10.6","2.8"
"42606.18283506944","42.75","13.2458","10.5","3.2"
"42606.18310810185","42.8273","13.2442","7.6","3.3"
"42606.183834375","42.6153","13.2673","10.7","3.2"
"42606.18562268519","42.6478","13.2547","10","2.8"
"42606.18601203704","42.7955","13.2262","6.7","3"
"42606.18613680555","42.7977","13.1613","7.7","3.1"
"42606.18678564815","42.6197","13.2663","10.7","3.2"
"42606.18807974537","42.832","13.1438","8","3.4"
"42606.18864722222","42.803","13.231","8.6","3.1"
"42606.18922465278","42.8115","13.1438","9.1","2.5"
"42606.18991770833","42.7922","13.1507","8","5.4"
"42606.19185092593","42.7807","13.1657","9.699999999999999","2.8"
"42606.192171875","42.7852","13.1558","10.1","2.9"
"42606.193084375","42.7647","13.1727","9.6","3.1"
"42606.1946537037","42.6137","13.3003","9.6","2.8"
"42606.19551828704","42.8125","13.1328","9.300000000000001","2.5"
"42606.19670115741","42.6427","13.2443","9.699999999999999","2.9"
"42606.19784293982","42.6322","13.2343","9.6","2.8"
"42606.19811006945","42.7337","13.2238","9.6","2.7"
"42606.19873113426","42.7448","13.186","9.300000000000001","3.3"
"42606.19891597222","42.7207","13.2028","9.9","3.4"
"42606.19939710648","42.7763","13.2077","10.1","2.5"
"42606.20009212963","42.6572","13.2307","10.5","2.3"
"42606.2006130787","42.8107","13.1538","10.4","3"
"42606.20186712963","42.7502","13.1998","8.4","2.9"
"42606.20238819445","42.7747","13.225","6.3","3.7"
"42606.20370775463","42.7587","13.1497","7.9","2.6"
"42606.20433263889","42.7413","13.1878","9.9","3.1"
"42606.20449224537","42.7992","13.2163","8.6","3.1"
"42606.20532291666","42.6463","13.3087","7.5","3.5"
"42606.2061787037","42.6352","13.2502","15.2","2.7"
"42606.20665960648","42.8158","13.1763","9.6","2.5"
"42606.20686099537","42.8047","13.1733","8.300000000000001","3.2"
"42606.20736342593","42.7837","13.1529999999999","9.699999999999999","2.8"
"42606.20784456019","42.813","13.1567","9.6","3.3"
"42606.20804675926","42.7987","13.1313","6.7","3.9"
"42606.20953101852","42.7835","13.2218","6.4","3.1"
"42606.21047453704","42.6473","13.2333","9.800000000000001","2.2"
"42606.21060810185","42.7745","13.1582","7.3","2.1"
"42606.21096122685","42.8132","13.1458","9.5","2.3"
"42606.21200092592","42.7388","13.1577","9.800000000000001","2.6"
"42606.21295104166","42.7792","13.1783","9.9","2.5"
"42606.21322025463","42.8105","13.1757","10.1","2.1"
"42606.21339375","42.7707","13.1552","9.199999999999999","2.8"
"42606.21401504629","42.6237","13.2518","10.6","3.7"
"42606.21475590278","42.6882","13.2137","9.199999999999999","3.7"
"42606.21530451389","42.7437","13.1003","8.699999999999999","2.6"
"42606.21578298611","42.8028","13.1548","10.3","2.7"
"42606.2159707176","42.6605","13.2408","9.9","2.4"
"42606.21652175926","42.6427","13.23","1.7","3.4"
"42606.21733761574","42.7388","13.2697","10.6","2.5"
"42606.21748148148","42.706","13.2412","9.1","3.2"
"42606.21917233797","42.6542","13.2012","11.4","2.3"
"42606.21935983796","42.7335","13.1578","9.1","2.7"
"42606.21979351852","42.7222","13.1605","8.199999999999999","3.5"
"42606.22082314815","42.7588","13.1378","7.8","3.6"
"42606.22152465278","42.7788","13.1385","9.5","2.7"
"42606.22156967592","42.7862","13.2227","6.6","3.7"
"42606.22256307871","42.7369999999999","13.1768","10.3","2.8"
"42606.22359178241","42.7265","13.2362","9.300000000000001","3"
"42606.22405405092","42.7718","13.1978","7.1","3.1"
"42606.22508784722","42.7858","13.1682","9.6","2.4"
"42606.22609803241","42.7537","13.1877","8","2.6"
"42606.22655428241","42.7502","13.185","9.1","2.8"
"42606.22750844908","42.6418","13.2608","9.5","2.5"
"42606.22825925926","42.6862","13.1655","10.8","2"
"42606.22845844908","42.7867","13.2315","8.4","2.8"
"42606.22888344908","42.7132","13.1935","10.2","2.6"
"42606.22967476852","42.7378","13.2042","10.2","2.7"
"42606.23014884259","42.7608","13.1682","9.1","2.3"
"42606.23039305556","42.7515","13.1542","7.2","2.9"
"42606.23080428241","42.6125","13.324","4","2.8"
"42606.23171041667","42.8138","13.2222","7.9","2.4"
"42606.23219780093","42.6948","13.2417","8.9","2.5"
"42606.23269479167","42.7188","13.2133","8.5","2.4"
"42606.23302997685","42.8219999999999","13.158","9.9","2.5"
"42606.23356539352","42.8","13.2262","8.6","2.8"
"42606.23449386574","42.7373","13.1542","10.7","2.6"
"42606.23531122685","42.6517","13.2508","11.1","2.1"
"42606.23570416667","42.6172","13.2568","11.5","3.1"
"42606.23623761574","42.6143","13.2437","10.7","4.1"
"42606.23737581018","42.7582","13.1085","8","2.5"
"42606.23808055556","42.7848","13.2187","6.8","2.8"
"42606.23871273148","42.7125","13.1892","10.6","2.6"
"42606.23944363426","42.7703","13.1192","11","2.1"
"42606.23975185185","42.7397","13.2525","8.800000000000001","2.4"
"42606.24008113426","42.728","13.1532","8.4","2.8"
"42606.24054953704","42.7803","13.147","8.4","2.4"
"42606.24102430556","42.8338","13.2247","15","2.3"
"42606.24163171296","42.6125","13.257","11.8","2.5"
"42606.24196041666","42.6268","13.2732","11.1","2.5"
"42606.24268587963","42.7515","13.1957","10","2.8"
"42606.24318587963","42.6542","13.2103","9.6","2.8"
"42606.24386342592","42.8142","13.1613","9.5","3"
"42606.24481168982","42.8277","13.134","8.800000000000001","2.2"
"42606.24484652778","42.7002","13.2028","9","3.1"
"42606.24578171296","42.6632","13.277","6.3","3"
"42606.24609548611","42.7922","13.1538","10.3","2.4"
"42606.24620416667","42.6393","13.3153","10","2.6"
"42606.24676956019","42.7812","13.1477","8.300000000000001","2.7"
"42606.24697141204","42.7307","13.1848","10.3","3"
"42606.24731898148","42.6803","13.2288","6.6","2.4"
"42606.24769131945","42.8163","13.2597","10.5","2.1"
"42606.24804490741","42.6937","13.1707","10.5","2.5"
"42606.24824930556","42.8223","13.1965","10.5","2.6"
"42606.2492300926","42.7313","13.2067","9.300000000000001","2.2"
"42606.24935740741","42.6488","13.2412","8.300000000000001","2.6"
"42606.24997118056","42.722","13.2188","9.9","3.5"
"42606.25059201389","42.7368","13.2312","10.4","3.2"
"42606.25130648148","42.7437","13.1967","9.5","2"
"42606.25212118056","42.6922","13.2557","8.9","2.4"
"42606.25246076389","42.6627","13.2052","9.1","2.8"
"42606.25286111111","42.7243","13.1907","10.5","2.2"
"42606.25296215278","42.7363","13.2127","10.7","2.2"
"42606.25332777778","42.7927","13.1525","8.300000000000001","2.4"
"42606.25365868056","42.738","13.1662","10.2","2.7"
"42606.25475671297","42.771","13.1238","6.2","4.4"
"42606.25696157407","42.5248","13.2902","16.6","2.4"
"42606.25845335648","42.8052","13.2273","8","2.9"
"42606.259","42.5842","13.2728","11.6","2.5"
"42606.25981296296","42.8245","13.158","10","2.6"
"42606.25991018519","42.7417","13.2448","8.9","2.3"
"42606.26026527778","42.7203","13.1728","8.6","2.2"
"42606.26031261574","42.7007","13.1898","9.199999999999999","2.3"
"42606.26063379629","42.813","13.1683","9.6","3.1"
"42606.2610769676","42.7192","13.1668","10.2","2.1"
"42606.26158090278","42.8212","13.2158","10","2.7"
"42606.26217743056","42.6443","13.2262","9.699999999999999","2.3"
"42606.26334988426","42.7908","13.1187","6.9","2.3"
"42606.26363923611","42.8369999999999","13.1313","6.1","2.7"
"42606.26595115741","42.714","13.2183","10.5","2.1"
"42606.26631863426","42.6005","13.2578","11.8","2.1"
"42606.26695023148","42.5777","13.2588","11","2.9"
"42606.26719502315","42.7818","13.1558","7.5","2.6"
"42606.26804328704","42.6353","13.2363","9.699999999999999","3.4"
"42606.26860856482","42.77","13.1668","9.4","3.5"
"42606.26923703704","42.8217","13.1703","8.6","3.1"
"42606.26989178241","42.7942","13.1342","8.699999999999999","2.7"
"42606.27007060185","42.8098","13.1403","6.2","3.1"
"42606.27092361111","42.8122","13.2253","9.9","2.7"
"42606.27097974537","42.6705","13.2098","10.3","2.9"
"42606.27145810185","42.6422","13.2188","9.199999999999999","3"
"42606.27190092592","42.8168","13.1198","9","2.9"
"42606.27238692129","42.6223","13.2502","11.2","2"
"42606.27303032408","42.6232","13.2148","9.800000000000001","3.4"
"42606.27376342592","42.7408","13.1615","10.2","2.6"
"42606.27650254629","42.6287","13.2225","9.5","3.4"
"42606.27747175926","42.7225","13.1642","10.4","2.2"
"42606.27799513889","42.791","13.1578","8.4","2.3"
"42606.28007256945","42.6222","13.2353","10.9","2.6"
"42606.2806806713","42.6843","13.2392","10.1","2.6"
"42606.2810056713","42.7322","13.1773","8.300000000000001","3.5"
"42606.282053125","42.7827","13.1637","9.9","3.2"
"42606.28294178241","42.8077","13.1422","6.9","2.5"
"42606.28503576389","42.7717","13.2112","6.7","2.2"
"42606.28565613426","42.6292","13.3037","6.3","2"
"42606.28606759259","42.8025","13.2303","9.6","2.4"
"42606.28663587963","42.7257","13.1757","10.5","3"
"42606.28707650463","42.7432","13.2455","7.5","2.2"
"42606.28841469908","42.6005","13.2832","7.2","3"
"42606.29001342593","42.8502","13.0405","7.6","3.5"
"42606.29116574074","42.7122","13.2183","9.9","2.9"
"42606.29158981481","42.6777","13.2977","6.4","2.8"
"42606.29252094907","42.776","13.1603","9.800000000000001","2.7"
"42606.29333993055","42.4623","13.2928","9.6","3.4"
"42606.29415856482","42.5988","13.2735","16.6","2.3"
"42606.29493449074","42.7738","13.1793","9.800000000000001","2.5"
"42606.29546412037","42.653","13.2298","12.1","2.4"
"42606.29720844908","42.6783","13.2107","11","2"
"42606.29752488426","42.8313","13.2152","9.6","2.4"
"42606.29966840277","42.8155","13.1742","8.300000000000001","2.4"
"42606.30014328704","42.7887","13.1295","9.800000000000001","2.3"
"42606.30045798611","42.7395","13.2359999999999","9.4","2.3"
"42606.30109548611","42.6412","13.2517","10.9","2.3"
"42606.302078125","42.7822","13.169","8.800000000000001","2.3"
"42606.30462326389","42.7142","13.2478","9.5","2.8"
"42606.30594050926","42.8135","13.1697","10.3","2.2"
"42606.30674120371","42.7965","13.1952","6.2","2.4"
"42606.30727951389","42.7332","13.2688","10.6","2.3"
"42606.30743587963","42.6387","13.2282","11","2.8"
"42606.3083337963","42.7595","13.237","7.3","3.2"
"42606.30907870371","42.6373","13.2117","15.9","2.4"
"42606.31100844908","42.6228","13.2793","13.4","2"
"42606.31179282408","42.7238","13.1793","10.4","2.8"
"42606.31220532407","42.7528","13.1702","9.1","2.2"
"42606.31243993055","42.7997","13.1217","8.9","2.7"
"42606.31348206018","42.7835","13.1318","10.6","2.5"
"42606.31356574074","42.6633","13.1937","9.6","3.3"
"42606.31451875","42.826","13.1448","12","2.1"
"42606.31573449074","42.7912","13.198","9.6","2.5"
"42606.31594733796","42.8257","13.1493","11.5","2.3"
"42606.31608009259","42.8158","13.1217","7.1","2.7"
"42606.31688807871","42.8012","13.1358","7.3","3.3"
"42606.31789236111","42.6062","13.2855","10","3"
"42606.31856805555","42.7113","13.204","9.6","2.3"
"42606.31927569444","42.8015","13.2077","8.6","2.1"
"42606.31955300926","42.7502","13.1842","4.7","2.3"
"42606.31992164352","42.6277","13.2415","11.2","2.3"
"42606.32063912037","42.7238","13.2732","9.9","2"
"42606.32142974537","42.7698","13.1683","10.8","2"
"42606.32157326389","42.6528","13.2987","7.8","2.4"
"42606.32203784723","42.8012","13.1417","9.300000000000001","2.5"
"42606.3233244213","42.6525","13.213","9.5","2.8"
"42606.32396631945","42.6813","13.2648","10.2","2.1"
"42606.32439340278","42.7997","13.2348","10.5","2.1"
"42606.32502800926","42.8208","13.2295","15.3","2"
"42606.32528518519","42.8032","13.1717","10.1","2.4"
"42606.32593530093","42.6252","13.2427","11.2","2"
"42606.32660381944","42.6198","13.2928","7","2.3"
"42606.32705185185","42.7888","13.2357","6.9","2.7"
